"","month_year","water_year","month","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 1993,1993,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"2",Jan 1993,1993,1,"slice2","J01-061","days_per_month","30","Toad","Tadpole","Depth"
"3",Jan 1993,1993,1,"slice3","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"4",Jan 1994,1994,1,"slice1","J01-061","days_per_month","29","Toad","Tadpole","Depth"
"5",Jan 1994,1994,1,"slice2","J01-061","days_per_month","20","Toad","Tadpole","Depth"
"6",Jan 1994,1994,1,"slice3","J01-061","days_per_month","29","Toad","Tadpole","Depth"
"7",Jan 1995,1995,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"8",Jan 1995,1995,1,"slice2","J01-061","days_per_month","28","Toad","Tadpole","Depth"
"9",Jan 1995,1995,1,"slice3","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"10",Jan 1996,1996,1,"slice1","J01-061","days_per_month","29","Toad","Tadpole","Depth"
"11",Jan 1996,1996,1,"slice2","J01-061","days_per_month","24","Toad","Tadpole","Depth"
"12",Jan 1996,1996,1,"slice3","J01-061","days_per_month","28","Toad","Tadpole","Depth"
"13",Jan 1997,1997,1,"slice1","J01-061","days_per_month","30","Toad","Tadpole","Depth"
"14",Jan 1997,1997,1,"slice2","J01-061","days_per_month","27","Toad","Tadpole","Depth"
"15",Jan 1997,1997,1,"slice3","J01-061","days_per_month","29","Toad","Tadpole","Depth"
"16",Jan 1998,1998,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"17",Jan 1998,1998,1,"slice2","J01-061","days_per_month","29","Toad","Tadpole","Depth"
"18",Jan 1998,1998,1,"slice3","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"19",Jan 1999,1999,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"20",Jan 1999,1999,1,"slice2","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"21",Jan 1999,1999,1,"slice3","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"22",Jan 2000,2000,1,"slice1","J01-061","days_per_month","30","Toad","Tadpole","Depth"
"23",Jan 2000,2000,1,"slice2","J01-061","days_per_month","27","Toad","Tadpole","Depth"
"24",Jan 2000,2000,1,"slice3","J01-061","days_per_month","30","Toad","Tadpole","Depth"
"25",Jan 2001,2001,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"26",Jan 2001,2001,1,"slice2","J01-061","days_per_month","30","Toad","Tadpole","Depth"
"27",Jan 2001,2001,1,"slice3","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"28",Jan 2002,2002,1,"slice1","J01-061","days_per_month","31","Toad","Tadpole","Depth"
"29",Jan 2002,2002,1,"slice2","J01-061","days_per_month","31","Toad","Tadpole","Depth"
