"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"2",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"3",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"4",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"5",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"6",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"7",Aug 1999,1999,8,"slice6","L02-022","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"8",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"9",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"10",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"11",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"12",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"13",Aug 1999,1999,8,"slice6","L02-022","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"14",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"15",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"16",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"17",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"18",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"19",Aug 1999,1999,8,"slice6","L02-022","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
