"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"2",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"3",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"4",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"5",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"6",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",1,"Toad","Tadpole","Depth"
"7",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"8",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"9",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"10",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"11",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"12",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",2,"Toad","Tadpole","Depth"
"13",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"14",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"15",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"16",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"17",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"18",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",3,"Toad","Tadpole","Depth"
"19",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"20",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"21",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"22",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"23",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"24",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",4,"Toad","Tadpole","Depth"
"25",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"26",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"27",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"28",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"29",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"30",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",5,"Toad","Tadpole","Depth"
"31",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"32",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"33",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"34",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"35",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"36",Jul 1999,1999,7,"slice6","L02-022","critical","ID01",6,"Toad","Tadpole","Depth"
"37",Jul 1999,1999,7,"slice1","L02-022","critical","ID01",7,"Toad","Tadpole","Depth"
"38",Jul 1999,1999,7,"slice2","L02-022","critical","ID01",7,"Toad","Tadpole","Depth"
"39",Jul 1999,1999,7,"slice3","L02-022","critical","ID01",7,"Toad","Tadpole","Depth"
"40",Jul 1999,1999,7,"slice4","L02-022","critical","ID01",7,"Toad","Tadpole","Depth"
"41",Jul 1999,1999,7,"slice5","L02-022","critical","ID01",7,"Toad","Tadpole","Depth"
