"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 2000,2000,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"2",Jan 2000,2000,1,"non_critical","slice2","L02-041","ID01",1,"Willow","Germination","Depth"
"3",Jan 2000,2000,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"4",Jan 2001,2001,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"5",Jan 2001,2001,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"6",Jan 2002,2002,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"7",Jan 2002,2002,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"8",Jan 2003,2003,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"9",Jan 2003,2003,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"10",Jan 2004,2004,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"11",Jan 2004,2004,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"12",Jan 2005,2005,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"13",Jan 2005,2005,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"14",Jan 2006,2006,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"15",Jan 2006,2006,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"16",Jan 2007,2007,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"17",Jan 2007,2007,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"18",Jan 2008,2008,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"19",Jan 2008,2008,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"20",Jan 2009,2009,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"21",Jan 2009,2009,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"22",Jan 2010,2010,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"23",Jan 2010,2010,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"24",Jan 2011,2011,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"25",Jan 2011,2011,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"26",Jan 2012,2012,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"27",Jan 2012,2012,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"28",Jan 2013,2013,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"29",Jan 2013,2013,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"30",Jan 2014,2014,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"31",Jan 2014,2014,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"32",Jan 2015,2015,1,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"33",Jan 2015,2015,1,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"34",Feb 2000,2000,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"35",Feb 2000,2000,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"36",Feb 2001,2001,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"37",Feb 2001,2001,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"38",Feb 2002,2002,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"39",Feb 2002,2002,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"40",Feb 2003,2003,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"41",Feb 2003,2003,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"42",Feb 2004,2004,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"43",Feb 2004,2004,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"44",Feb 2005,2005,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"45",Feb 2005,2005,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
"46",Feb 2006,2006,2,"non_critical","slice1","L02-041","ID01",1,"Willow","Germination","Depth"
"47",Feb 2006,2006,2,"non_critical","slice3","L02-041","ID01",1,"Willow","Germination","Depth"
