"","month_year","water_year","month","season","position","Node","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jan 1993,1993,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"2",Jan 1993,1993,1,"non_critical","slice2","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"3",Jan 1993,1993,1,"non_critical","slice3","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"4",Jan 1993,1993,1,"non_critical","slice4","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"5",Jan 1994,1994,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"6",Jan 1994,1994,1,"non_critical","slice2","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"7",Jan 1994,1994,1,"non_critical","slice3","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"8",Jan 1994,1994,1,"non_critical","slice4","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"9",Jan 1995,1995,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"10",Jan 1995,1995,1,"non_critical","slice2","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"11",Jan 1995,1995,1,"non_critical","slice3","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"12",Jan 1995,1995,1,"non_critical","slice4","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"13",Jan 1996,1996,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"14",Jan 1996,1996,1,"non_critical","slice2","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"15",Jan 1996,1996,1,"non_critical","slice3","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"16",Jan 1996,1996,1,"non_critical","slice4","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"17",Jan 1997,1997,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"18",Jan 1997,1997,1,"non_critical","slice2","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"19",Jan 1997,1997,1,"non_critical","slice3","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"20",Jan 1997,1997,1,"non_critical","slice4","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
"21",Jan 1998,1998,1,"non_critical","slice1","J01-020","days_per_month",31,"Willow","Adult","StreamPower"
