"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"2",Jul 1999,1999,7,"slice2","L01-060","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"3",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"4",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"5",Jul 1999,1999,7,"slice2","L01-060","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"6",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"7",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"8",Jul 1999,1999,7,"slice2","L01-060","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"9",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"10",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"11",Jul 1999,1999,7,"slice2","L01-060","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"12",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"13",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"14",Jul 1999,1999,7,"slice2","L01-060","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"15",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"16",Aug 1999,1999,8,"slice2","L01-060","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"17",Jul 1999,1999,7,"slice1","L01-060","critical","ID01",6,"Toad","Breeding/Eggs","Velocity"
"18",Jul 1999,1999,7,"slice3","L01-060","critical","ID01",6,"Toad","Breeding/Eggs","Velocity"
