"","month_year","water_year","month","position","Node","season","Probability_Threshold","n_days","Species","Life_Stage","Hydraulic"
"1",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"2",Jul 1999,1999,7,"slice2","L02-030","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"3",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"4",Aug 1999,1999,8,"slice2","L02-030","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"5",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",1,"Toad","Breeding/Eggs","Velocity"
"6",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"7",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"8",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",2,"Toad","Breeding/Eggs","Velocity"
"9",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"10",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"11",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",3,"Toad","Breeding/Eggs","Velocity"
"12",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"13",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"14",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",4,"Toad","Breeding/Eggs","Velocity"
"15",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"16",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"17",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",5,"Toad","Breeding/Eggs","Velocity"
"18",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",6,"Toad","Breeding/Eggs","Velocity"
"19",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",6,"Toad","Breeding/Eggs","Velocity"
"20",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",6,"Toad","Breeding/Eggs","Velocity"
"21",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",7,"Toad","Breeding/Eggs","Velocity"
"22",Jul 1999,1999,7,"slice3","L02-030","critical","ID01",7,"Toad","Breeding/Eggs","Velocity"
"23",Sep 1999,1999,9,"slice2","L02-030","critical","ID01",7,"Toad","Breeding/Eggs","Velocity"
"24",Jul 1999,1999,7,"slice1","L02-030","critical","ID01",8,"Toad","Breeding/Eggs","Velocity"
